t,u_raw,u_sat,u_rate,ref,psi,x,y
59,-0.1626502,-0.1626502,-0.1626502,72,72.058818,77.549203,141.88244
59.04,-0.11992685,-0.11992685,-0.11992685,72,72.045012,77.586195,141.99659
59.08,-0.077415266,-0.077415266,-0.077415266,72,72.031274,77.623215,142.11074
59.12,-0.035126051,-0.035126051,-0.035126051,72,72.017606,77.660262,142.22488
59.16,0.006930327,0.006930327,0.006930327,72,72.004011,77.697336,142.33901
59.2,0.048743522,0.048743522,0.048743522,72,71.990493,77.734437,142.45313
59.24,0.090303315,0.090303315,0.090303315,72,71.977055,77.771564,142.56724
59.28,0.13159962,0.13159962,0.13159962,72,71.963701,77.808719,142.68134
59.32,0.17262247,0.17262247,0.17262247,72,71.950433,77.8459,142.79544
59.36,0.21336204,0.21336204,0.21336204,72,71.937255,77.883107,142.90952
59.4,0.25380865,0.25380865,0.25380865,72,71.924171,77.92034,143.0236
59.44,0.29395273,0.29395273,0.29395273,72,71.911182,77.957599,143.13767
59.48,0.33378488,0.33378488,0.33378488,72,71.898292,77.994883,143.25173
59.52,0.37329582,0.37329582,0.37329582,72,71.885505,78.032193,143.36578
59.56,0.41247642,0.41247642,0.41247642,72,71.872823,78.069528,143.47983
59.6,0.45131769,0.45131769,0.45131769,72,71.860249,78.106889,143.59386
59.64,0.48981078,0.48981078,0.48981078,72,71.847786,78.144274,143.70789
59.68,0.52794701,0.52794701,0.52794701,72,71.835437,78.181683,143.82191
59.72,0.56571782,0.56571782,0.56571782,72,71.823204,78.219117,143.93592
59.76,0.60311483,0.60311483,0.60311483,72,71.811091,78.256576,144.04993
59.8,0.64012979,0.64012979,0.64012979,72,71.799099,78.294058,144.16392
59.84,0.6767546,0.6767546,0.6767546,72,71.787232,78.331563,144.27791
59.88,0.71298135,0.71298135,0.71298135,72,71.775492,78.369092,144.39189
59.92,0.74880223,0.74880223,0.74880223,72,71.763882,78.406644,144.50586
59.96,0.78420965,0.78420965,0.78420965,72,71.752405,78.444219,144.61983
60,0.81919612,0.81919612,0.81919612,72,71.741061,78.481816,144.73379
